Cantidad de entradas (sin filtro): 1,056

		S	Aviso	GrCAc	CdAc	Texto de acción	 Cont.	CePl	Ubicac.técnica	Ce.	Ce.coste	A	Div.	Act.fijo	SNº	Emplaz.	ArE	Equipo	Conjunto	P	IniAvería	FinAvería	HIniAver	HFinAver	DurParada	Un.	UbTécAfect	Equipo	R	DAA	DTA	DTM	IAA	ITA	ETM	Ctrl.técn.	CtrlTéc el	GP	Cl.	Descripción	Soc.	ClPr	P	Creado	Creado el	TmpApert	Por	Modif.el	HoraMod	Hora	Fecha	Autor aviso	Ini.desead	HoraDesead	Fin desead	Hora des.	Mon.	Orden	Cliente	Cierre	HoCierre	Fecha ref.	HoraRef	PerfCatál	Stat.sist.	Emplz/Imput.	PtoTrbRes	StatUsu	Denomin.	Denom.ubic.técnica	Ped.clte.	Pedido	Fe.PedCpas	Se	OrgVt	CDis	Nº direc.	Nº objeto	TxE	D	Doc.venta	Pos.	Pos	NºAc	ClCatAct	Versión	FechaInic.	Fecha fin	Hora	Hora	FaCtd	Lista	Teléfono	Cód.postal	Población	Distrito	Ps	Rg	Calle	NºSerie

			19349381	DKHRT	DA00	LINEA PARADA		8600	PI-EC-8600-PR-04	8600	EC11028												00:00:00	00:00:00	    0.00	H												MP	Z5	LINEA PARADA DUROS	EC02	ZM		40285176	02.12.2024	08:29:29	40285176	18.12.2024	05:22:05	06:00:00	01.12.2024		01.12.2024	06:00:00	02.12.2024	06:00:00					00:00:00	18.12.2024	05:22:05	DT0011	MEAB	000019462145	PLHARD			LINEA 4: EXTRUIDOS DUROS								QM000019349381		S				   1	8	1	01.12.2024		22:30:00	00:00:00	    1
			19349381	SCDT	OU00	HRS MANTENIMIENTO PREVENTIVO		8600	PI-EC-8600-PR-04	8600	EC11028												00:00:00	00:00:00	    0.00	H												MP	Z5	LINEA PARADA DUROS	EC02	ZM		40285176	16.12.2024	05:57:40			00:00:00	06:00:00	01.12.2024		01.12.2024	06:00:00	02.12.2024	06:00:00					00:00:00	18.12.2024	05:22:05	DT0011	MEAB	000019462145	PLHARD			LINEA 4: EXTRUIDOS DUROS								QM000019349381		S				   2	8	1	01.12.2024		01:30:00	00:00:00	    1
			19350773	SCDT	IN00	ARRANQUE CON TAKITO		8600	PI-EC-8600-PR-05	8600	EC11021												00:00:00	00:00:00	    0.00	H												MP	Z5	TC1500 TURNO"B"  02/12/2024	EC02	ZM		40285243	02.12.2024	16:36:25	40285176	03.12.2024	06:06:23	17:34:25	02.12.2024	LEODAN V	02.12.2024	06:00:00	02.12.2024	18:00:00					00:00:00	10.12.2024	05:15:50	DT0011	MEAB	000019469673	PLTC1500			LINEA 5: TC-1500								QM000019350773		S				   1	8	1	02.12.2024		00:30:00	00:00:00	    1
			19350773	SCDT	OU10	LIMPIEZA PROFUNDA		8600	PI-EC-8600-PR-05	8600	EC11021												00:00:00	00:00:00	    0.00	H												MP	Z5	TC1500 TURNO"B"  02/12/2024	EC02	ZM		40285176	03.12.2024	06:06:23			00:00:00	17:34:25	02.12.2024	LEODAN V	02.12.2024	06:00:00	02.12.2024	18:00:00					00:00:00	10.12.2024	05:15:50	DT0011	MEAB	000019469673	PLTC1500			LINEA 5: TC-1500								QM000019350773		S				   2	8	1	02.12.2024		07:00:00	00:00:00	    1
			19350773			NO APLICA		8600	PI-EC-8600-PR-05	8600	EC11021												00:00:00	00:00:00	    0.00	H												MP	Z5	TC1500 TURNO"B"  02/12/2024	EC02	ZM		40285176	03.12.2024	06:06:23	40285176	03.12.2024	06:07:34	17:34:25	02.12.2024	LEODAN V	02.12.2024	06:00:00	02.12.2024	18:00:00					00:00:00	10.12.2024	05:15:50	DT0011	MEAB	000019469673	PLTC1500			LINEA 5: TC-1500								QM000019350773		S				   3			02.12.2024		00:00:00	00:00:00	    1
			19350773	SCDT	OU64	PARO POR CAMBIO DE ENERGÍA		8600	PI-EC-8600-PR-05	8600	EC11021												00:00:00	00:00:00	    0.00	H												MP	Z5	TC1500 TURNO"B"  02/12/2024	EC02	ZM		40285176	03.12.2024	06:06:23	40285113	10.12.2024	05:15:50	17:34:25	02.12.2024	LEODAN V	02.12.2024	06:00:00	02.12.2024	18:00:00					00:00:00	10.12.2024	05:15:50	DT0011	MEAB	000019469673	PLTC1500			LINEA 5: TC-1500								QM000019350773		S				   4	8	1	02.12.2024		00:30:00	00:00:00	    1
			19350773			NO APLICA		8600	PI-EC-8600-PR-05	8600	EC11021												00:00:00	00:00:00	    0.00	H												MP	Z5	TC1500 TURNO"B"  02/12/2024	EC02	ZM		40285176	03.12.2024	06:06:23	40285176	03.12.2024	06:07:34	17:34:25	02.12.2024	LEODAN V	02.12.2024	06:00:00	02.12.2024	18:00:00					00:00:00	10.12.2024	05:15:50	DT0011	MEAB	000019469673	PLTC1500			LINEA 5: TC-1500								QM000019350773		S				   5			02.12.2024		00:00:00	00:00:00	    1
			19350773			NO APLICA		8600	PI-EC-8600-PR-05	8600	EC11021												00:00:00	00:00:00	    0.00	H												MP	Z5	TC1500 TURNO"B"  02/12/2024	EC02	ZM		40285176	03.12.2024	06:06:23	40285176	03.12.2024	06:07:34	17:34:25	02.12.2024	LEODAN V	02.12.2024	06:00:00	02.12.2024	18:00:00					00:00:00	10.12.2024	05:15:50	DT0011	MEAB	000019469673	PLTC1500			LINEA 5: TC-1500								QM000019350773		S				   6			02.12.2024		00:00:00	00:00:00	    1
			19354108	DKHRT	DA00	Linea parada		8600	PI-EC-8600-PR-03	8600	EC11027												00:00:00	00:00:00	    0.00	H												MP	Z5	novedades extruidos Suaves	EC02	ZM		40285113	03.12.2024	05:09:10	40285176	03.12.2024	06:09:36	06:05:53	02.12.2024		02.12.2024	06:00:00	03.12.2024	06:00:00					00:00:00	10.12.2024	15:06:51	DT0011	MEAB	000019472247	PLSOFT			LINEA 3: EXTRUIDOS SUAVES								QM000019354108		S				   1	8	1	02.12.2024		12:00:00	00:00:00	    1
			19354108	SCDT	IN00	Arranque de linea		8600	PI-EC-8600-PR-03	8600	EC11027												00:00:00	00:00:00	    0.00	H												MP	Z5	novedades extruidos Suaves	EC02	ZM		40285113	03.12.2024	05:09:10			00:00:00	06:05:53	02.12.2024		02.12.2024	06:00:00	03.12.2024	06:00:00					00:00:00	10.12.2024	15:06:51	DT0011	MEAB	000019472247	PLSOFT			LINEA 3: EXTRUIDOS SUAVES								QM000019354108		S				   2	8	1	02.12.2024		00:30:00	00:00:00	    1
			19354108	SCDT	OU64	PARO POR CAMBIO DE ENERGÍA		8600	PI-EC-8600-PR-03	8600	EC11027												00:00:00	00:00:00	    0.00	H												MP	Z5	novedades extruidos Suaves	EC02	ZM		40285113	03.12.2024	05:09:10	40285113	10.12.2024	05:16:44	06:05:53	02.12.2024		02.12.2024	06:00:00	03.12.2024	06:00:00					00:00:00	10.12.2024	15:06:51	DT0011	MEAB	000019472247	PLSOFT			LINEA 3: EXTRUIDOS SUAVES								QM000019354108		S				   3	8	1	02.12.2024		01:00:00	00:00:00	    1
			19354108	SCDT	OU64	ARRANQUE POR CAMBIO DE ENERGÍA		8600	PI-EC-8600-PR-03	8600	EC11027												00:00:00	00:00:00	    0.00	H												MP	Z5	novedades extruidos Suaves	EC02	ZM		40285176	03.12.2024	06:09:36	40285113	10.12.2024	05:16:44	06:05:53	02.12.2024		02.12.2024	06:00:00	03.12.2024	06:00:00					00:00:00	10.12.2024	15:06:51	DT0011	MEAB	000019472247	PLSOFT			LINEA 3: EXTRUIDOS SUAVES								QM000019354108		S				   4	8	1	02.12.2024		01:00:00	00:00:00	    1
			19354110	SCDT	IN00	Arranque de linea		8600	PI-EC-8600-PR-04	8600	EC11028												00:00:00	00:00:00	    0.00	H												MP	Z5	Novedades extruidos Duros	EC02	ZM		40285113	03.12.2024	05:13:40			00:00:00	06:09:37	02.12.2024		02.12.2024	06:00:00	03.12.2024	06:00:00					00:00:00	10.12.2024	15:10:13	DT0011	MEAB	000019472249	PLHARD			LINEA 4: EXTRUIDOS DUROS								QM000019354110		S				   1	8	1	02.12.2024		01:00:06	00:00:00	    1
